model_type,C,class_weight,power_val_accuracy,power_val_macro_f1,power_val_weighted_f1,power_test_accuracy,power_test_macro_f1,power_test_weighted_f1,respect_val_accuracy,respect_val_macro_f1,respect_val_weighted_f1,respect_test_accuracy,respect_test_macro_f1,respect_test_weighted_f1,average_val_macro_f1,average_test_macro_f1,selected
logistic_regression,0.01,balanced,0.6071428571428571,0.5359306587923837,0.6068205135314996,0.62,0.5518467066570024,0.6230335587704227,0.59375,0.5731056789201965,0.6104102744381947,0.56,0.4982174688057041,0.6010516934046346,0.5545181688562901,0.5250320877313532,False
logistic_regression,0.01,none,0.5669642857142857,0.3301785975699019,0.45442419144864793,0.59,0.3799424874191229,0.4990893841361132,0.6517857142857143,0.3053830227743271,0.5266332076308784,0.7133333333333334,0.3153644256006461,0.6078800726832223,0.3177808101721145,0.3476534565098845,False
logistic_regression,0.03,balanced,0.6383928571428571,0.5657826816363402,0.6371220998562027,0.6466666666666666,0.5771148899960198,0.6478461377142778,0.6205357142857143,0.5848150312339135,0.6369326803825582,0.6233333333333333,0.5433227336811666,0.658489796548424,0.5752988564351269,0.5602188118385931,False
logistic_regression,0.03,none,0.6205357142857143,0.46332897572695475,0.5542515053931688,0.6333333333333333,0.4696382096382097,0.5755033891033892,0.6741071428571429,0.37012762393722576,0.568804471649384,0.7266666666666667,0.4057720057720058,0.6512784992784992,0.41672829983209025,0.43770510770510773,False
logistic_regression,0.1,balanced,0.6696428571428571,0.6013097072419106,0.6711647727272727,0.65,0.5813468078512026,0.6550479390641661,0.6339285714285714,0.6032020686604743,0.6470438363055745,0.6566666666666666,0.5683801973657046,0.6830405879681243,0.6022558879511924,0.5748635026084536,False
logistic_regression,0.1,none,0.6473214285714286,0.5392834807468955,0.61094856798254,0.65,0.5142555470693788,0.6105977958078287,0.7008928571428571,0.4997439364142904,0.6436688186982019,0.7433333333333333,0.5199623352165724,0.7041586629001884,0.519513708580593,0.5171089411429757,False
logistic_regression,0.3,balanced,0.6785714285714286,0.615638200441105,0.6803301975193184,0.6666666666666666,0.5892581413709502,0.6690969907844082,0.6607142857142857,0.6262838915470494,0.6737406015037594,0.6566666666666666,0.5727748993942999,0.6818523017427303,0.6209610459940772,0.5810165203826251,False
logistic_regression,0.3,none,0.6875,0.5932587132587133,0.6632371494871494,0.6766666666666666,0.566092860554599,0.6503620591138123,0.7098214285714286,0.5459763140744736,0.6718195312575242,0.7633333333333333,0.5706364374384186,0.7352086981635846,0.5696175136665934,0.5683646489965088,False
logistic_regression,1.0,balanced,0.7008928571428571,0.6349115628652359,0.7049374219827689,0.6833333333333333,0.6055439013127515,0.6845242562174285,0.6785714285714286,0.6423240681510217,0.6902917331167625,0.6466666666666666,0.5610252369821254,0.6706394766587298,0.6386178155081288,0.5832845691474384,True
logistic_regression,1.0,none,0.6919642857142857,0.6064076373065137,0.674057596195939,0.6666666666666666,0.5557135252678702,0.6442451754085261,0.71875,0.599076208960697,0.6982013053359558,0.7766666666666666,0.6119892420170984,0.7560791865389215,0.6027419231336053,0.5838513836424843,False
logistic_regression,3.0,balanced,0.6875,0.6196781833379772,0.6910290744536879,0.6766666666666666,0.5897065897065896,0.676055796055796,0.6875,0.6497703354846212,0.6984369938451571,0.65,0.5575757575757576,0.6723982683982684,0.6347242594112992,0.5736411736411736,False
logistic_regression,3.0,none,0.7008928571428571,0.6127434470089754,0.6896442759888447,0.6666666666666666,0.5629103374285304,0.6522505789535659,0.7142857142857143,0.6154828404994962,0.7024676429083908,0.77,0.6201008508523861,0.7575658383073742,0.6141131437542358,0.5915055941404582,False
logistic_regression,10.0,balanced,0.6830357142857143,0.6128053311043001,0.6870710479441149,0.6533333333333333,0.5549504996467739,0.6500710687768274,0.6607142857142857,0.6138958256100882,0.6714447703994318,0.68,0.5750000000000001,0.6952833333333334,0.6133505783571942,0.564975249823387,False
logistic_regression,10.0,none,0.6964285714285714,0.6189076644692783,0.6898763053405084,0.6633333333333333,0.5552371785159371,0.6488538129487854,0.7142857142857143,0.6138445029753196,0.7017412412726285,0.7566666666666667,0.6158977996893875,0.7484966378037058,0.6163760837222989,0.5855674891026623,False
